NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
940,우성,24250,하락250,-1.02%,5000,749,3090,0.99,1307,591.46,0.07
941,두산2우B,83800,상승1400,+1.70%,5000,748,893,0.12,57,-2.58,N/A
942,KODEX 미국반도체MV,11420,하락65,-0.57%,0,748,6550,0.10,5879,N/A,N/A
943,한국종합기술,6810,하락40,-0.58%,500,746,10950,2.69,19992,19.63,2.61
944,영보화학,3725,하락5,-0.13%,500,745,20000,52.19,4868,11.15,4.27
945,KBSTAR 미국단기투자등급회사채액티브,10205,상승25,+0.25%,0,740,7250,0.00,485,N/A,N/A
946,사조오양,7850,하락90,-1.13%,5000,740,9423,2.08,4898,8.67,4.24
947,KODEX 미국종합채권SRI액티브(H),97305,상승25,+0.03%,0,739,759,0.01,132,N/A,N/A
948,국동,1281,하락21,-1.61%,500,735,57372,3.85,203659,51.24,1.32
949,까뮤이앤씨,1623,하락12,-0.73%,500,733,45152,1.49,28225,-4.61,-17.86
950,우진플라임,3645,하락35,-0.95%,500,729,20000,6.85,18474,3.34,23.63
951,신한 인버스 2X WTI원유 선물 ETN(H),115,상승5,+4.55%,0,728,633000,0.00,1167495,N/A,N/A
952,세하,1264,하락8,-0.63%,1000,728,57563,0.42,8828,32.41,2.27
953,메타랩스,2920,상승215,+7.95%,2500,727,24905,0.00,47299,-14.17,-6.27
954,티에이치엔,4040,하락145,-3.46%,500,727,18000,3.90,79910,-15.30,-5.48
955,부국철강,3635,하락5,-0.14%,500,727,20000,3.39,36428,10.24,5.76
956,서원,1527,상승22,+1.46%,500,725,47475,2.08,385489,254.50,0.25
957,범양건영,2915,하락35,-1.19%,1000,724,24832,2.35,21728,-7.88,-11.33
958,평화산업,1317,상승2,+0.15%,500,723,54902,2.37,252084,11.86,18.05
959,KBSTAR 중국본토대형주CSI100,19010,0,0.00%,0,722,3800,0.00,42,N/A,N/A
960,KBSTAR 비메모리반도체액티브,8845,하락145,-1.61%,0,720,8140,0.00,49753,N/A,N/A
961,TIGER 국고채30년스트립액티브,49045,하락250,-0.51%,0,720,1468,0.82,51600,N/A,N/A
962,미래에셋맵스리츠,3580,상승20,+0.56%,1000,720,20100,0.55,3024,111.88,0.69
963,신풍제약우,32700,하락450,-1.36%,500,719,2200,0.12,232,-51.01,N/A
964,TIGER 차이나CSI300레버리지(합성),22275,하락85,-0.38%,0,717,3220,0.00,2490,N/A,N/A
965,인디에프,1014,하락15,-1.46%,500,717,70713,2.79,33211,-7.04,-25.55
966,한창,903,하락70,-7.19%,500,717,79396,3.21,2004952,-10.26,-25.34
967,TIGER 경기방어,9185,하락5,-0.05%,0,716,7800,0.00,1116,N/A,N/A
968,미래에셋 레버리지 코스닥150 선물 ETN,35725,하락1225,-3.32%,0,714,2000,0.00,70029,N/A,N/A
969,ACE 미국WideMoat가치주,19840,상승35,+0.18%,0,714,3600,0.20,4801,N/A,N/A
970,TIGER 200 중공업,3300,상승30,+0.92%,0,710,21520,0.35,173458,N/A,N/A
971,TIGER 미국S&P500TR(H),10210,상승5,+0.05%,0,710,6950,1.46,27203,N/A,N/A
972,쌍방울,270,하락12,-4.26%,500,709,262592,1.97,5129301,-0.74,-52.32
973,대우부품,1481,하락4,-0.27%,500,706,47646,1.40,13771,-8.05,-28.85
974,씨아이테크,1516,상승27,+1.81%,500,703,46403,3.77,395124,-94.75,-1.30
975,KODEX WTI원유선물(H),14340,하락305,-2.08%,0,699,4875,0.00,28444,N/A,N/A
976,TRUE S&P500 선물 ETN,13980,상승90,+0.65%,0,699,5000,0.00,2,N/A,N/A
977,KBSTAR 고배당,12010,상승15,+0.13%,0,697,5800,0.11,5431,N/A,N/A
978,KODEX 한국대만IT프리미어,17790,0,0.00%,0,694,3900,0.00,89,N/A,N/A
979,신한 WTI원유 선물 ETN(H),6870,하락155,-2.21%,0,687,10000,0.00,573,N/A,N/A
980,상신브레이크,3160,하락55,-1.71%,500,678,21471,1.54,27076,95.76,0.39
981,메리츠 블룸버그 -2X 천연가스 선물 ETN(H),67330,상승6535,+10.75%,0,673,1000,0.00,13,N/A,N/A
982,CS홀딩스,58300,하락400,-0.68%,5000,673,1154,3.63,171,4.74,5.38
983,TIGER 국채3년,106830,하락120,-0.11%,0,673,630,0.06,94,N/A,N/A
