NO,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROI
260,KG케미칼,"60,100",하락600,-0.99%,"5,000","8,334","13,866",7.57,"653,697",2.75,47.97
261,ESR켄달스퀘어리츠,"3,860",하락40,-1.03%,"1,000","8,225","213,089",50.50,"9,793",64.33,1.39
262,미원상사,"169,000",상승100,+0.06%,500,"8,196","4,850",2.63,66,11.62,22.64
263,제주은행,"25,250","하락1,550",-5.78%,"5,000","8,113","32,129",2.20,"450,672",35.56,4.40
264,태광산업,"724,000","하락3,000",-0.41%,"5,000","8,061","1,113",4.97,57,2.36,8.52
265,해성디에스,"47,400",하락650,-1.35%,"5,000","8,058","17,000",15.22,"32,629",5.06,42.99
266,이노션,"39,900",하락50,-0.13%,500,"7,980","20,000",31.45,"3,625",11.30,8.46
267,KODEX 단기채권,"105,780",상승10,+0.01%,0,"7,962","7,527",0.42,"149,175",N/A,N/A
268,HDC현대산업개발,"12,010",0,0.00%,"5,000","7,915","65,907",7.55,"46,358",15.72,1.75
269,세방전지,"55,100",하락900,-1.61%,500,"7,714","14,000",22.50,"17,039",18.01,3.58
270,TIGER 200 IT,"30,845",하락165,-0.53%,0,"7,674","24,880",0.09,"4,144",N/A,N/A
271,녹십자홀딩스,"16,100",하락60,-0.37%,500,"7,572","47,028",6.26,"10,044",24.28,3.18
272,신세계인터내셔날,"20,900",하락50,-0.24%,"1,000","7,461","35,700",5.18,"13,063",6.31,15.29
273,DN오토모티브,"74,400",하락600,-0.80%,500,"7,436","9,994",1.77,"2,173",4.11,22.81
274,CJ CGV,"15,460",하락240,-1.53%,500,"7,378","47,726",5.59,"29,165",-4.07,-55.24
275,SNT모티브,"50,100",상승150,+0.30%,"5,000","7,326","14,623",18.69,"6,213",8.37,10.08
276,티웨이항공,"3,720",상승180,+5.08%,500,"7,232","194,414",1.04,"2,604,014",-5.60,-222.35
277,KCC글라스,"45,000",하락50,-0.11%,"1,000","7,187","15,971",8.05,"7,923",7.65,6.64
278,케이카,"14,930",하락160,-1.06%,500,"7,179","48,087",5.72,"45,764",23.66,11.65
279,KODEX 자동차,"19,035",하락95,-0.50%,0,"7,129","37,450",0.07,"27,808",N/A,N/A
280,효성중공업,"76,400","하락1,400",-1.80%,"5,000","7,124","9,325",10.60,"24,333",69.71,1.07
281,미원에스씨,"138,900",상승600,+0.43%,500,"7,084","5,100",0.47,215,10.93,18.38
282,자화전자,"32,600",하락400,-1.21%,500,"7,069","21,684",5.05,"108,004",-16.44,-11.90
283,프레스티지바이오파마,"11,710",하락210,-1.76%,0,"7,037","60,096",63.23,"30,561",-4.83,-32.84
284,한세실업,"17,550",상승130,+0.75%,500,"7,020","40,000",10.71,"48,908",8.20,17.10
285,대한해운,"2,185",상승5,+0.23%,500,"6,974","319,177",6.44,"192,687",4.42,11.21
286,SBS,"38,200",하락200,-0.52%,"5,000","6,972","18,253",0.00,"8,401",4.57,20.64
287,대신증권,"13,410",상승40,+0.30%,"5,000","6,809","50,773",11.76,"6,385",10.04,4.38
288,삼성 인버스 2X 천연가스 선물 ETN C,"67,295","상승6,495",+10.68%,0,"6,730","10,000",0.00,"21,474",N/A,N/A
289,우리종금,764,하락4,-0.52%,500,"6,679","874,203",2.57,"98,666",7.28,14.40
290,대상,"19,210",하락80,-0.41%,"1,000","6,656","34,648",10.24,"10,058",8.33,6.57
291,삼양홀딩스,"77,300",하락400,-0.51%,"5,000","6,620","8,564",8.10,"4,323",9.65,4.01
292,한국단자,"63,100",하락300,-0.47%,500,"6,572","10,415",21.62,"4,672",13.49,5.69
293,바이오노트,"6,440",상승30,+0.47%,500,"6,561","101,876",1.05,"66,207",1.97,21.48
294,LX홀딩스,"8,600",하락20,-0.23%,"1,000","6,560","76,281",9.78,"20,060",3.93,N/A
295,SPC삼립,"75,700",하락300,-0.39%,"5,000","6,532","8,629",3.01,"3,128",12.27,14.70
296,DI동일,"25,000",하락950,-3.66%,500,"6,510","26,041",2.10,"84,990",12.09,9.37
297,SK디스커버리,"34,050",하락300,-0.87%,"5,000","6,482","19,038",9.59,"5,418",1.62,16.34
298,KODEX MSCI Korea TR,"11,310",하락5,-0.04%,0,"6,435","56,900",1.16,521,N/A,N/A
