0,1,2,3,4,5,6,7,8,9,10,11
197,현대백화점,"52,800",상승100,+0.19%,"5,000","12,356","23,402",22.57,"92,415",8.58,3.20
198,KBSTAR 종합채권(A-이상)액티브,"98,020",0,0.00%,0,"12,320","12,569",0.00,402,N/A,N/A
199,이수화학,"43,800","상승1,100",+2.58%,"5,000","12,246","27,960",4.08,"5,042,323",44.15,9.41
200,LX인터내셔널,"31,450",상승200,+0.64%,"5,000","12,190","38,760",29.95,"968,995",2.37,25.53
201,TCC스틸,"46,900",상승600,+1.30%,"1,000","12,180","25,969",2.94,"1,039,674",38.44,16.54
202,SK네트웍스,"4,850",하락55,-1.12%,"2,500","12,037","248,188",8.98,"1,681,093",13.94,3.88
203,풍산,"42,750",하락50,-0.12%,"5,000","11,980","28,024",14.97,"321,149",6.84,9.94
204,KODEX 2차전지산업,"31,435",상승110,+0.35%,0,"11,945","38,000",1.76,"2,922,453",N/A,N/A
205,제주항공,"15,400",상승370,+2.46%,"1,000","11,857","76,994",3.64,"575,500",-5.47,-70.86
206,DGB금융지주,"6,970",상승30,+0.43%,"5,000","11,789","169,146",44.16,"457,763",2.94,7.38
207,한국앤컴퍼니,"12,400",하락20,-0.16%,500,"11,772","94,935",9.09,"59,281",7.09,4.37
208,한올바이오파마,"22,200",하락800,-3.48%,500,"11,597","52,241",5.55,"669,885","4,440.00",0.15
209,한샘,"48,550",상승250,+0.52%,"1,000","11,426","23,534",13.12,"29,332",-16.02,-13.37
210,KG스틸,"11,400",하락210,-1.81%,"5,000","11,401","100,009",3.00,"2,903,186",2.13,37.73
211,대덕전자,"22,800",하락450,-1.94%,500,"11,267","49,417",14.14,"423,895",6.39,23.94
212,일진하이솔루스,"31,000","하락1,050",-3.28%,500,"11,257","36,313",2.13,"115,012",159.79,2.27
213,KODEX Top5PlusTR,"16,285",하락110,-0.67%,0,"11,155","68,500",12.41,"1,972",N/A,N/A
214,현대건설기계,"56,500","하락1,300",-2.25%,"5,000","11,131","19,701",24.68,"115,039",9.98,7.99
215,솔루엠,"22,250",0,0.00%,500,"11,126","50,006",12.97,"377,663",23.52,16.93
216,SK가스,"120,200","하락1,100",-0.91%,"5,000","11,095","9,230",5.22,"7,750",4.32,11.53
217,DL,"52,500",상승800,+1.55%,"5,000","11,002","20,956",11.46,"73,415",19.59,1.52
218,종근당,"85,500",하락200,-0.23%,"2,500","10,746","12,568",8.11,"24,765",13.27,13.62
219,TIGER TOP10,"11,180",하락15,-0.13%,0,"10,744","96,100",12.18,"87,487",N/A,N/A
220,대한유화,"164,000","하락4,300",-2.55%,"5,000","10,660","6,500",6.13,"41,189",-7.15,-7.66
221,영풍,"578,000","하락8,000",-1.37%,"5,000","10,647","1,842",5.76,"2,269",2.90,9.96
222,코리안리,"7,560",상승200,+2.72%,500,"10,646","140,823",29.73,"247,838",6.74,5.91
223,명신산업,"19,900",하락650,-3.16%,500,"10,442","52,470",4.60,"643,991",12.18,25.18
224,신풍제약,"19,600",하락350,-1.75%,500,"10,385","52,985",5.87,"392,369",-30.58,-10.27
225,오리온홀딩스,"16,510",하락220,-1.32%,500,"10,343","62,645",6.75,"79,296",10.04,4.83
226,율촌화학,"41,150",하락250,-0.60%,500,"10,205","24,800",8.77,"63,265",-246.41,-1.22
227,한국콜마,"44,500","상승1,900",+4.46%,500,"10,182","22,881",26.47,"303,147",-46.31,-3.26
228,롯데웰푸드,"107,200","하락1,200",-1.11%,500,"10,114","9,435",13.20,"16,504",18.07,2.89
229,PI첨단소재,"34,400",하락800,-2.27%,500,"10,102","29,366",5.92,"171,139",22.09,13.70
230,더존비즈온,"32,850",하락500,-1.50%,500,"9,981","30,383",18.90,"94,624",43.39,5.15
231,TIGER 단기통안채,"103,155",상승5,0.00%,0,"9,926","9,622",1.47,"1,028,150",N/A,N/A
232,SK리츠,"5,030",상승35,+0.70%,500,"9,887","196,554",6.04,"189,304",264.74,0.43
233,아시아나항공,"13,240",상승20,+0.15%,"5,000","9,852","74,412",7.44,"307,834",8.92,18.48
234,NHN,"27,000",상승50,+0.19%,500,"9,725","36,017",13.11,"32,816",-31.07,-1.82
235,F&F홀딩스,"24,850",하락400,-1.58%,500,"9,720","39,114",0.58,"136,268",7.35,6.64
